id,firstName,lastName,maidenName,age,gender,email,phone,username,password,birthDate,image,bloodGroup,height,weight,eyeColor,hair,ip,address,macAddress,university,bank,company,ein,ssn,userAgent,crypto,role,city
247,Christopher,Lewis,,68,male,christopher.lewis@x.dummyjson.com,+344 578-476-6183,christopherlewis783,christopherlewis783pass,1957-08-22,https://dummyjson.com/icon/christopherlewis783/128,A+,160.55,91.73,Blue,"{'color': 'Black', 'type': 'Coily'}",188.167.4.166,"{'address': '5933 Jefferson Street', 'city': 'Phoenix', 'coordinates': {'lat': -34.344189, 'lng': 169.189675}, 'country': 'United States', 'postalCode': '65342', 'state': 'New York', 'stateCode': 'NE'}",5e:94:cd:a6:e5:04,University of Chicago,"{'cardExpire': '02/26', 'cardNumber': '2334229430573309', 'cardType': 'American Express', 'currency': 'CAD', 'iban': 'US993888682988936891804267957'}","{'address': {'address': '3979 Second Street', 'city': 'Jacksonville', 'coordinates': {'lat': 5.169659, 'lng': 96.43913}, 'country': 'United States', 'postalCode': '26240', 'state': 'Georgia', 'stateCode': 'GE'}, 'department': 'Research and Development', 'name': 'Brown - LLC', 'title': 'HR Specialist'}",620-492,280-668-101,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36","{'coin': 'Bitcoin', 'network': 'Ethereum (ERC20)', 'wallet': '0xd48aa799729cffffeb1d3f03e05b734cc8af2038'}",admin,Phoenix
492,Charles,Mitchell,,33,female,charles.mitchell@x.dummyjson.com,+645 314-232-4605,charlesmitchell441,charlesmitchell441pass,1992-12-12,https://dummyjson.com/icon/charlesmitchell441/128,A+,151.12,65.65,Blue,"{'color': 'Gray', 'type': 'Wavy'}",80.219.153.248,"{'address': '9096 Jefferson Street', 'city': 'Houston', 'coordinates': {'lat': -21.872009, 'lng': -17.632039}, 'country': 'United States', 'postalCode': '30577', 'state': 'California', 'stateCode': 'CA'}",48:27:bd:ab:82:6e,University of Pennsylvania,"{'cardExpire': '07/30', 'cardNumber': '1245975998295827', 'cardType': 'JCB', 'currency': 'CHF', 'iban': 'FR703732661605558247370079038'}","{'address': {'address': '5886 Elm Street', 'city': 'New York', 'coordinates': {'lat': 28.599553, 'lng': 53.751725}, 'country': 'United States', 'postalCode': '62243', 'state': 'Ohio', 'stateCode': 'OH'}, 'department': 'Human Resources', 'name': 'Brown - LLC', 'title': 'Sales Representative'}",127-892,881-843-186,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36","{'coin': 'Bitcoin', 'network': 'Ethereum (ERC20)', 'wallet': '0x1c585f43707698decacce36cc70b1e7da27858ae'}",user,Houston
744,Stephen,Rivera,,71,male,stephen.rivera@x.dummyjson.com,+556 489-140-6141,stephenrivera46,stephenrivera46pass,1955-05-25,https://dummyjson.com/icon/stephenrivera46/128,AB+,186.83,76.06,Amber,"{'color': 'Red', 'type': 'Coily'}",76.138.202.132,"{'address': '8150 Second Street', 'city': 'Washington', 'coordinates': {'lat': -75.30486, 'lng': 58.351481}, 'country': 'United States', 'postalCode': '42364', 'state': 'California', 'stateCode': 'CA'}",9b:32:17:13:e0:f2,University of Pennsylvania,"{'cardExpire': '09/31', 'cardNumber': '7089767948552749', 'cardType': 'Visa', 'currency': 'EUR', 'iban': 'FR951178850843849556081030185'}","{'address': {'address': '8394 Maple Street', 'city': 'Charlotte', 'coordinates': {'lat': -59.669949, 'lng': -2.308619}, 'country': 'United States', 'postalCode': '59319', 'state': 'Ohio', 'stateCode': 'OH'}, 'department': 'Research and Development', 'name': 'Johnson - Ltd', 'title': 'Product Manager'}",739-556,613-116-765,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36","{'coin': 'Bitcoin', 'network': 'Ethereum (ERC20)', 'wallet': '0x4afc16512f31ae9f356db19969bd060c373bce85'}",admin,Washington
716,James,Thomas,,73,male,james.thomas@x.dummyjson.com,+515 483-251-2995,jamesthomas554,jamesthomas554pass,1952-12-18,https://dummyjson.com/icon/jamesthomas554/128,O+,198.64,51.97,Brown,"{'color': 'Red', 'type': 'Curly'}",216.147.73.91,"{'address': '9460 Cedar Street', 'city': 'New York', 'coordinates': {'lat': -9.726547, 'lng': -90.630466}, 'country': 'United States', 'postalCode': '85117', 'state': 'Georgia', 'stateCode': 'GE'}",62:38:27:7d:a9:ef,Stanford University,"{'cardExpire': '01/27', 'cardNumber': '3408886594721826', 'cardType': 'JCB', 'currency': 'JPY', 'iban': 'FR977452326579771610223799756'}","{'address': {'address': '1562 Second Street', 'city': 'Austin', 'coordinates': {'lat': 68.063249, 'lng': -57.346319}, 'country': 'United States', 'postalCode': '20251', 'state': 'Georgia', 'stateCode': 'GE'}, 'department': 'Human Resources', 'name': 'Williams - Corp', 'title': 'Product Manager'}",206-348,550-556-401,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36","{'coin': 'Bitcoin', 'network': 'Ethereum (ERC20)', 'wallet': '0x52dd6edd5c702e74e2f5d7d491b173b9fc8273d2'}",admin,New York
898,Walter,Johnson,,33,male,walter.johnson@x.dummyjson.com,+870 959-851-5097,walterjohnson725,walterjohnson725pass,1993-01-16,https://dummyjson.com/icon/walterjohnson725/128,O-,185.83,71.02,Green,"{'color': 'Blonde', 'type': 'Straight'}",248.45.128.1,"{'address': '5061 Oak Street', 'city': 'Charlotte', 'coordinates': {'lat': 3.027309, 'lng': -56.71283}, 'country': 'United States', 'postalCode': '17204', 'state': 'Florida', 'stateCode': 'FL'}",e5:5b:06:dd:cd:cb,Columbia University,"{'cardExpire': '06/35', 'cardNumber': '5052454800046149', 'cardType': 'Mastercard', 'currency': 'USD', 'iban': 'GB105224394406065644002898415'}","{'address': {'address': '8699 Sixth Street', 'city': 'Phoenix', 'coordinates': {'lat': -58.413092, 'lng': -56.118976}, 'country': 'United States', 'postalCode': '86617', 'state': 'Michigan', 'stateCode': 'MI'}, 'department': 'Human Resources', 'name': 'Johnson - LLC', 'title': 'Support Specialist'}",545-645,502-708-411,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36","{'coin': 'Bitcoin', 'network': 'Ethereum (ERC20)', 'wallet': '0xda39ec9f242b4463e47e7361694364cdf6b6ee0a'}",moderator,Charlotte
805,Catherine,Thomas,,71,male,catherine.thomas@x.dummyjson.com,+589 667-122-3129,catherinethomas807,catherinethomas807pass,1955-03-18,https://dummyjson.com/icon/catherinethomas807/128,A-,198.61,114.01,Blue,"{'color': 'Brown', 'type': 'Kinky'}",7.33.76.199,"{'address': '6249 Jefferson Street', 'city': 'San Francisco', 'coordinates': {'lat': 0.322606, 'lng': -105.013284}, 'country': 'United States', 'postalCode': '64252', 'state': 'Illinois', 'stateCode': 'IL'}",6a:45:70:28:88:29,Princeton University,"{'cardExpire': '07/34', 'cardNumber': '2176028247842758', 'cardType': 'Mastercard', 'currency': 'AUD', 'iban': 'US831349015970063551750718638'}","{'address': {'address': '6044 Lincoln Street', 'city': 'Houston', 'coordinates': {'lat': 61.037238, 'lng': -103.463155}, 'country': 'United States', 'postalCode': '37222', 'state': 'New York', 'stateCode': 'NE'}, 'department': 'Operations', 'name': 'Jones - Ltd', 'title': 'Product Manager'}",960-523,594-828-839,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36","{'coin': 'Bitcoin', 'network': 'Ethereum (ERC20)', 'wallet': '0xb72b033366ab3da238138a6dede27ec641df22b2'}",admin,San Francisco
442,John,White,,71,female,john.white@x.dummyjson.com,+270 842-727-7779,johnwhite272,johnwhite272pass,1955-05-17,https://dummyjson.com/icon/johnwhite272/128,AB+,181.95,115.5,Amber,"{'color': 'White', 'type': 'Kinky'}",54.188.119.175,"{'address': '5047 Lincoln Street', 'city': 'Chicago', 'coordinates': {'lat': 16.496835, 'lng': 145.482415}, 'country': 'United States', 'postalCode': '36726', 'state': 'Michigan', 'stateCode': 'MI'}",5a:ac:27:15:86:44,Columbia University,"{'cardExpire': '10/29', 'cardNumber': '8894762447868057', 'cardType': 'Visa', 'currency': 'GBP', 'iban': 'FR245362467575460515356746884'}","{'address': {'address': '4864 Cedar Street', 'city': 'Dallas', 'coordinates': {'lat': 1.582911, 'lng': -149.68525}, 'country': 'United States', 'postalCode': '73200', 'state': 'Pennsylvania', 'stateCode': 'PE'}, 'department': 'Operations', 'name': 'Smith - LLC', 'title': 'Marketing Manager'}",309-545,281-570-208,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36","{'coin': 'Bitcoin', 'network': 'Ethereum (ERC20)', 'wallet': '0xdf1ef052ea1bc60afec8a90c8fa50f7d95916a44'}",user,Chicago
77,Emma,Lee,,50,male,emma.lee@x.dummyjson.com,+910 384-737-3651,emmalee20,emmalee20pass,1976-06-05,https://dummyjson.com/icon/emmalee20/128,A+,177.22,62.46,Hazel,"{'color': 'Blonde', 'type': 'Kinky'}",221.208.107.6,"{'address': '4043 Oak Street', 'city': 'San Francisco', 'coordinates': {'lat': 22.629074, 'lng': -48.819239}, 'country': 'United States', 'postalCode': '74879', 'state': 'New York', 'stateCode': 'NE'}",4f:6d:86:cc:40:13,Harvard University,"{'cardExpire': '12/30', 'cardNumber': '3416974307646664', 'cardType': 'Diners Club International', 'currency': 'CNY', 'iban': 'US156424943494644842124533277'}","{'address': {'address': '7671 Elm Street', 'city': 'Los Angeles', 'coordinates': {'lat': 57.231112, 'lng': 99.353888}, 'country': 'United States', 'postalCode': '63558', 'state': 'Florida', 'stateCode': 'FL'}, 'department': 'Customer Support', 'name': 'Jones - LLC', 'title': 'HR Specialist'}",191-605,654-544-310,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36","{'coin': 'Bitcoin', 'network': 'Ethereum (ERC20)', 'wallet': '0x3c896eddcbcc76718f0d5cd321c50a9867f4a36b'}",admin,San Francisco
487,Nathan,Taylor,,28,female,nathan.taylor@x.dummyjson.com,+792 791-624-2970,nathantaylor521,nathantaylor521pass,1997-12-05,https://dummyjson.com/icon/nathantaylor521/128,AB-,190.96,106.86,Green,"{'color': 'Blonde', 'type': 'Straight'}",136.78.158.38,"{'address': '1959 Oak Street', 'city': 'Columbus', 'coordinates': {'lat': 21.994235, 'lng': -34.340017}, 'country': 'United States', 'postalCode': '17255', 'state': 'Ohio', 'stateCode': 'OH'}",32:b3:bf:b1:20:ce,Princeton University,"{'cardExpire': '07/24', 'cardNumber': '6298503773312554', 'cardType': 'JCB', 'currency': 'CAD', 'iban': 'US439807704222930993210408885'}","{'address': {'address': '3475 Cedar Street', 'city': 'San Diego', 'coordinates': {'lat': -60.108332, 'lng': 136.978812}, 'country': 'United States', 'postalCode': '70156', 'state': 'Florida', 'stateCode': 'FL'}, 'department': 'Research and Development', 'name': 'Brown - LLC', 'title': 'Support Specialist'}",891-118,967-833-255,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36","{'coin': 'Bitcoin', 'network': 'Ethereum (ERC20)', 'wallet': '0x53c9febfb603d79a7f881db9a8df2a945a8a2a08'}",user,Columbus
47,Heather,Davis,,19,female,heather.davis@x.dummyjson.com,+728 136-140-8612,heatherdavis615,heatherdavis615pass,2007-04-25,https://dummyjson.com/icon/heatherdavis615/128,AB+,151.88,104.18,Brown,"{'color': 'White', 'type': 'Curly'}",51.125.31.30,"{'address': '2799 Fourth Street', 'city': 'Philadelphia', 'coordinates': {'lat': 25.608143, 'lng': 168.908757}, 'country': 'United States', 'postalCode': '19150', 'state': 'Georgia', 'stateCode': 'GE'}",f5:bc:6b:d6:7f:81,University of Pennsylvania,"{'cardExpire': '05/32', 'cardNumber': '4637110889063341', 'cardType': 'Mastercard', 'currency': 'EUR', 'iban': 'FR189476066934921189271150493'}","{'address': {'address': '7410 Oak Street', 'city': 'Dallas', 'coordinates': {'lat': -38.568919, 'lng': -130.882529}, 'country': 'United States', 'postalCode': '64086', 'state': 'Texas', 'stateCode': 'TE'}, 'department': 'Finance', 'name': 'Brown - Ltd', 'title': 'Research Scientist'}",799-484,242-870-324,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36","{'coin': 'Bitcoin', 'network': 'Ethereum (ERC20)', 'wallet': '0x47af6fae860ff2f97cd6b751c0e5830ac58d4d68'}",user,Philadelphia
